Date,Open,High,Low,Close
2024-08-28,5150,5150,5000,5025
2024-08-29,5050,5075,5000,5075
2024-08-30,5075,5125,5025,5100
2024-09-02,5100,5225,5100,5200
2024-09-03,5225,5225,5125,5125
2024-09-04,5050,5100,5025,5050
2024-09-05,5075,5125,5050,5075
2024-09-06,5050,5125,5050,5050
2024-09-09,5050,5100,5000,5025
2024-09-10,5075,5100,5000,5025
2024-09-11,5025,5050,5000,5025
2024-09-12,5025,5075,5025,5025
2024-09-13,5025,5075,5025,5075
2024-09-17,5075,5100,5025,5075
2024-09-18,5100,5275,5075,5250
2024-09-19,5275,5275,5200,5275
2024-09-20,5275,5275,5200,5225
2024-09-23,5250,5275,5225,5225
2024-09-24,5250,5275,5225,5275
2024-09-25,5300,5300,5150,5225
2024-09-26,5250,5275,5175,5250
2024-09-27,5275,5275,5050,5100
2024-09-30,5100,5100,5000,5050
2024-10-01,5100,5175,5075,5175
2024-10-02,5150,5150,5050,5150
2024-10-03,5175,5250,5100,5250
2024-10-04,5250,5250,5100,5150
2024-10-07,5150,5175,5075,5100
2024-10-08,5100,5225,5075,5225
2024-10-09,5225,5225,5075,5075
2024-10-10,5100,5125,5075,5125
2024-10-11,5125,5150,5075,5075
2024-10-14,5025,5025,4920,4930
2024-10-15,4930,4970,4900,4930
2024-10-16,4950,4960,4900,4960
2024-10-17,4950,4970,4930,4950
2024-10-18,4960,4960,4920,4920
2024-10-21,4950,5100,4930,5100
2024-10-22,5125,5275,5100,5275
2024-10-23,5275,5300,5175,5300
2024-10-24,5300,5300,5200,5275
2024-10-25,5275,5275,5200,5225
2024-10-28,5250,5250,5125,5250
2024-10-29,5250,5250,5125,5125
2024-10-30,5125,5200,5050,5200
2024-10-31,5300,5300,5100,5100
2024-11-01,5125,5175,5050,5075
2024-11-04,5075,5125,4980,5125
2024-11-05,5125,5200,5075,5175
2024-11-06,5175,5175,5025,5050
2024-11-07,5050,5075,5000,5000
2024-11-08,5050,5075,4950,4960
2024-11-11,4960,4990,4850,4970
2024-11-12,5000,5000,4930,4970
2024-11-13,5000,5025,4950,5025
2024-11-14,5025,5025,4930,4950
2024-11-15,4940,4960,4920,4940
