Date,Open,High,Low,Close
2020-01-02,6695,6780,6680,6690
2020-01-03,6750,6800,6725,6800
2020-01-06,6720,6750,6690,6735
2020-01-07,6735,6770,6730,6740
2020-01-08,6670,6745,6670,6680
2020-01-09,6740,6755,6730,6740
2020-01-10,6765,6825,6710,6725
2020-01-13,6740,6760,6735,6745
2020-01-14,6745,6885,6740,6870
2020-01-15,6870,7060,6800,6835
2020-01-16,6805,6890,6795,6850
2020-01-17,6840,6890,6800,6875
2020-01-20,6950,6975,6830,6835
2020-01-21,6885,6895,6825,6830
2020-01-22,6855,6895,6835,6840
2020-01-23,6885,6895,6830,6840
2020-01-24,6820,6880,6810,6810
2020-01-27,6865,6940,6815,6840
2020-01-28,6835,6845,6755,6790
2020-01-29,6800,6845,6770,6785
2020-01-30,6845,6845,6730,6740
2020-01-31,6800,6805,6480,6480
2020-02-03,6480,6585,6370,6440
2020-02-04,6570,6620,6520,6600
2020-02-05,6780,6780,6650,6730
2020-02-06,6740,6780,6680,6740
2020-02-07,6710,6780,6705,6760
2020-02-10,6760,6785,6630,6785
2020-02-11,6785,6785,6745,6780
2020-02-12,6800,6800,6760,6800
2020-02-13,6820,6820,6740,6790
2020-02-14,6780,6795,6675,6680
2020-02-17,6680,6750,6680,6720
2020-02-18,6685,6720,6670,6695
2020-02-19,6665,6760,6665,6695
2020-02-20,6690,6695,6565,6595
2020-02-21,6600,6660,6595,6615
2020-02-24,6565,6600,6510,6525
2020-02-25,6550,6560,6510,6530
2020-02-26,6500,6535,6420,6420
2020-02-27,6470,6475,6200,6290
2020-02-28,6200,6290,6035,6290
2020-03-02,6290,6290,6035,6080
2020-03-03,6200,6350,6200,6320
2020-03-04,6315,6500,6260,6440
2020-03-05,6540,6540,6340,6435
2020-03-06,6350,6350,6200,6200
2020-03-09,6000,6040,5785,5785
2020-03-10,5840,6010,5840,5925
2020-03-11,5950,5980,5790,5850
2020-03-12,5600,5640,5460,5560
2020-03-13,5560,5560,5560,5560
