Date,Open,High,Low,Close
2020-01-02,4000,4009,3964,4009
2020-01-03,4018,4036,3991,4018
2020-01-06,3964,3991,3927,3973
2020-01-07,4009,4009,3982,4000
2020-01-08,3982,4000,3945,3982
2020-01-09,4000,4018,3973,4000
2020-01-10,4027,4027,3991,4009
2020-01-13,4027,4100,4018,4100
2020-01-14,4127,4182,4109,4154
2020-01-15,4154,4164,4118,4164
2020-01-16,4154,4173,4100,4154
2020-01-17,4200,4218,4182,4209
2020-01-20,4264,4264,4209,4236
2020-01-21,4245,4254,4218,4245
2020-01-22,4254,4282,4245,4282
2020-01-23,4291,4327,4264,4309
2020-01-24,4300,4318,4254,4309
2020-01-27,4273,4273,4218,4227
2020-01-28,4164,4218,4154,4200
2020-01-29,4200,4236,4182,4200
2020-01-30,4273,4273,4164,4164
2020-01-31,4154,4164,4054,4054
2020-02-03,4054,4082,4045,4054
2020-02-04,4264,4264,4109,4145
2020-02-05,4154,4164,4100,4145
2020-02-06,4173,4173,4118,4136
2020-02-07,4164,4164,4127,4136
2020-02-10,4091,4118,4000,4091
2020-02-11,4127,4127,4073,4100
2020-02-12,4109,4145,4109,4118
2020-02-13,4164,4173,4127,4154
2020-02-14,4118,4173,4118,4136
2020-02-17,4073,4127,4064,4064
2020-02-18,4064,4091,4000,4000
2020-02-19,4054,4073,4045,4073
2020-02-20,4109,4164,4100,4145
2020-02-21,4145,4145,4100,4100
2020-02-24,4127,4127,4064,4082
2020-02-25,4054,4136,4054,4091
2020-02-26,4091,4100,4064,4073
2020-02-27,3982,3982,3745,3754
2020-02-28,3627,3809,3554,3809
2020-03-02,3809,3818,3618,3618
2020-03-03,3682,3800,3636,3727
2020-03-04,3764,3854,3754,3836
2020-03-05,3900,3909,3754,3773
2020-03-06,3673,3682,3636,3645
2020-03-09,3545,3591,3409,3409
2020-03-10,3436,3664,3436,3554
2020-03-11,3591,3664,3527,3554
2020-03-12,3473,3491,3273,3282
2020-03-13,3282,3427,3054,3382
2020-03-16,3409,3409,3145,3182
2020-03-17,3182,3245,2964,2964
2020-03-18,2973,3127,2809,2854
2020-03-19,2845,2854,2664,2664
2020-03-20,2664,2700,2482,2555
2020-03-23,2409,2455,2382,2382
2020-03-24,2345,2500,2218,2218
2020-03-26,2273,2727,2273,2673
2020-03-27,2727,3336,2727,2936
2020-03-30,2864,2864,2736,2736
2020-03-31,2818,2909,2700,2745
2020-04-01,2736,2800,2636,2664
2020-04-02,2591,2636,2545,2609
2020-04-03,2664,2682,2573,2627
2020-04-06,2682,2754,2645,2745
2020-04-07,2818,2945,2682,2754
2020-04-08,2727,2764,2564,2564
2020-04-09,2600,2645,2500,2536
2020-04-13,2536,2582,2455,2518
2020-04-14,2536,2636,2518,2636
2020-04-15,2636,2718,2482,2509
2020-04-16,2518,2518,2345,2373
2020-04-17,2427,2582,2418,2573
2020-04-20,2618,2636,2509,2527
2020-04-21,2500,2536,2445,2473
2020-04-22,2455,2573,2409,2536
2020-04-23,2573,2618,2536,2545
2020-04-24,2545,2545,2391,2391
2020-04-27,2436,2455,2373,2418
2020-04-28,2436,2445,2336,2355
2020-04-29,2364,2382,2327,2345
2020-04-30,2382,2491,2373,2482
2020-05-04,2427,2436,2364,2391
2020-05-05,2391,2436,2373,2391
2020-05-06,2391,2409,2364,2382
2020-05-08,2400,2418,2345,2355
2020-05-11,2391,2400,2364,2382
2020-05-12,2382,2391,2245,2264
2020-05-13,2236,2291,2218,2245
2020-05-14,2218,2255,2118,2136
2020-05-15,2164,2182,2009,2036
2020-05-18,2045,2064,1964,1973
2020-05-19,2045,2200,2045,2155
2020-05-20,2145,2273,2109,2255
2020-05-26,2318,2318,2245,2291
2020-05-27,2309,2391,2291,2391
2020-05-28,2400,2527,2400,2482
2020-05-29,2455,2682,2455,2682
2020-06-02,2682,2991,2682,2891
2020-06-03,2909,2982,2736,2818
2020-06-04,2836,2909,2754,2782
2020-06-05,2791,2845,2691,2827
2020-06-08,2891,3064,2882,3000
2020-06-09,3045,3054,2918,2918
2020-06-10,2891,2891,2727,2754
2020-06-11,2845,2845,2636,2700
2020-06-12,2636,2764,2545,2754
2020-06-15,2764,2773,2627,2636
2020-06-16,2700,2864,2691,2845
2020-06-17,2909,2909,2800,2818
2020-06-18,2773,2836,2764,2773
2020-06-19,2800,2827,2782,2818
2020-06-22,2818,2827,2754,2782
2020-06-23,2745,2782,2709,2736
2020-06-24,2773,2854,2736,2836
2020-06-25,2818,2827,2764,2782
2020-06-26,2818,2836,2745,2754
2020-06-29,2764,2782,2709,2764
2020-06-30,2791,2827,2754,2754
2020-07-01,2764,2791,2754,2782
2020-07-02,2809,2809,2764,2782
2020-07-03,2782,2809,2764,2773
2020-07-06,2791,2818,2754,2764
2020-07-07,2791,2800,2754,2754
2020-07-08,2764,2909,2754,2900
2020-07-09,2900,2936,2854,2854
2020-07-10,2845,2864,2818,2827
2020-07-13,2845,2891,2773,2873
2020-07-14,2873,2954,2845,2882
2020-07-15,2909,2945,2845,2845
2020-07-16,2845,2873,2845,2854
2020-07-17,2854,2864,2818,2818
2020-07-20,2818,2845,2754,2773
2020-07-21,2773,2891,2773,2864
2020-07-22,2873,2882,2809,2818
2020-07-23,2836,2873,2818,2854
2020-07-24,2845,2854,2809,2809
2020-07-27,2809,2864,2809,2864
2020-07-28,2873,2882,2818,2854
2020-07-29,2854,2864,2818,2836
2020-07-30,2845,2882,2827,2873
2020-08-03,2882,2891,2700,2718
2020-08-04,2727,2800,2727,2800
2020-08-05,2818,2827,2764,2800
2020-08-06,2818,2845,2809,2827
2020-08-07,2827,2845,2782,2827
2020-08-10,2827,2864,2818,2845
2020-08-11,2845,2927,2845,2900
2020-08-12,2900,3064,2900,3045
2020-08-13,3045,3136,3000,3027
2020-08-14,3027,3045,2982,3036
2020-08-18,3036,3209,3036,3200
2020-08-19,3200,3309,3200,3236
