Date,Open,High,Low,Close
2024-08-28,7025,7225,7000,7225
2024-08-29,7300,7300,7100,7100
2024-08-30,7100,7175,7075,7125
2024-09-02,7200,7275,7125,7200
2024-09-03,7200,7250,7050,7075
2024-09-04,7000,7175,7000,7175
2024-09-05,7125,7225,7125,7175
2024-09-06,7175,7275,7150,7250
2024-09-09,7250,7250,7200,7250
2024-09-10,7250,7275,7225,7250
2024-09-11,7300,7400,7275,7375
2024-09-12,7375,7425,7300,7300
2024-09-13,7300,7300,7225,7275
2024-09-17,7325,7450,7300,7425
2024-09-18,7375,7450,7350,7400
2024-09-19,7450,7550,7400,7400
2024-09-20,7400,7425,7300,7300
2024-09-23,7325,7450,7300,7450
2024-09-24,7400,7475,7375,7425
2024-09-25,7350,7350,7050,7200
2024-09-26,7175,7200,7100,7175
2024-09-27,7025,7125,7000,7050
2024-09-30,7000,7025,6875,6925
2024-10-01,7000,7075,6950,7050
2024-10-02,7025,7100,6925,6975
2024-10-03,7000,7075,6900,7050
2024-10-04,7025,7050,6900,6950
2024-10-07,6925,6925,6800,6875
2024-10-08,6825,7175,6775,7075
2024-10-09,7075,7175,6950,6950
2024-10-10,6925,7050,6900,6950
2024-10-11,7025,7025,6925,6950
2024-10-14,6925,6975,6900,6925
2024-10-15,7000,7100,6925,7050
2024-10-16,7050,7075,6925,7000
2024-10-17,7050,7250,7000,7225
2024-10-18,7275,7300,7175,7175
2024-10-21,7250,7250,7125,7200
2024-10-22,7150,7175,7075,7075
2024-10-23,7075,7125,7025,7075
2024-10-24,7000,7150,6975,6975
2024-10-25,6975,7050,6975,7050
2024-10-28,7075,7075,6800,6825
2024-10-29,6800,6850,6725,6825
2024-10-30,6575,6775,6575,6750
2024-10-31,6750,6825,6700,6700
2024-11-01,6725,6725,6550,6650
2024-11-04,6600,6800,6525,6750
2024-11-05,6725,6950,6675,6925
2024-11-06,6925,6925,6550,6550
2024-11-07,6500,6550,6425,6425
2024-11-08,6425,6525,6275,6325
2024-11-11,6300,6450,6150,6350
2024-11-12,6375,6450,6325,6375
2024-11-13,6500,6550,6400,6425
2024-11-14,6375,6475,6350,6375
2024-11-15,6300,6400,6300,6350
2024-11-18,6350,6425,6225,6325
2024-11-19,6375,6375,6225,6250
2024-11-20,6325,6350,6200,6225
2024-11-21,6225,6225,6125,6150
2024-11-22,6125,6300,6100,6250
2024-11-25,6325,6600,6325,6575
2024-11-26,6600,6600,6325,6400
2024-11-28,6350,6525,6350,6450
2024-11-29,6325,6375,6125,6150
2024-12-02,6175,6250,5975,6000
2024-12-03,6100,6275,6100,6275
2024-12-04,6275,6450,6225,6375
2024-12-05,6350,6375,6150,6150
2024-12-06,6200,6275,6125,6225
2024-12-09,6175,6375,6175,6375
2024-12-10,6275,6325,6225,6300
2024-12-11,6300,6400,6300,6300
2024-12-12,6200,6225,6100,6125
2024-12-13,6025,6100,5975,6025
2024-12-16,5900,6100,5900,6075
2024-12-17,6050,6075,5925,5950
2024-12-18,5925,6000,5775,5825
2024-12-19,5625,5725,5600,5675
2024-12-20,5675,5750,5625,5675
2024-12-23,5800,5875,5725,5825
2024-12-24,5825,5875,5750,5750
2024-12-27,5750,5850,5750,5800
2024-12-30,5675,5750,5650,5700
2025-01-02,5700,5850,5700,5850
2025-01-03,5850,5875,5775,5800
2025-01-06,5825,5825,5650,5675
2025-01-07,5600,5650,5550,5600
2025-01-08,5600,5750,5600,5750
2025-01-09,5725,5775,5700,5750
2025-01-10,5750,5775,5600,5600
2025-01-13,5500,5550,5475,5525
2025-01-14,5425,5575,5400,5400
2025-01-15,5475,5825,5450,5750
2025-01-16,6075,6200,5850,5875
