Date,Open,High,Low,Close
2024-08-28,3000,3000,2960,2980
2024-08-29,2980,3080,2980,3030
2024-08-30,3030,3070,3010,3060
2024-09-02,3090,3150,3080,3140
2024-09-03,3140,3150,3080,3080
2024-09-04,3060,3100,3040,3080
2024-09-05,3080,3090,3020,3020
2024-09-06,3010,3050,3010,3040
2024-09-09,3050,3080,3000,3030
2024-09-10,3060,3060,3020,3030
2024-09-11,3030,3050,3020,3040
2024-09-12,3060,3070,3050,3050
2024-09-13,3080,3120,3070,3110
2024-09-17,3120,3130,3080,3090
2024-09-18,3120,3130,3100,3120
2024-09-19,3140,3150,3120,3140
2024-09-20,3150,3170,3120,3150
2024-09-23,3150,3180,3130,3170
2024-09-24,3180,3180,3150,3160
2024-09-25,3100,3190,3060,3190
2024-09-26,3170,3180,3120,3170
2024-09-27,3130,3140,3010,3050
2024-09-30,3030,3030,2990,2990
2024-10-01,2990,3040,2990,3020
2024-10-02,2950,2980,2920,2920
2024-10-03,2950,2950,2890,2890
2024-10-04,2900,2930,2860,2880
2024-10-07,2910,2910,2870,2900
2024-10-08,2890,2990,2870,2990
2024-10-09,2980,3010,2960,2960
2024-10-10,2960,2980,2940,2950
2024-10-11,3000,3000,2920,2940
2024-10-14,2930,2970,2900,2900
2024-10-15,2920,2970,2910,2940
2024-10-16,2970,3000,2930,3000
2024-10-17,3000,3060,2980,3040
2024-10-18,3050,3130,3040,3100
2024-10-21,3100,3130,3060,3100
2024-10-22,3060,3070,3010,3010
2024-10-23,2940,2980,2930,2940
2024-10-24,2940,2960,2900,2900
2024-10-25,2900,2950,2900,2910
2024-10-28,2920,2940,2900,2920
2024-10-29,2910,2930,2880,2900
2024-10-30,2880,2900,2850,2900
2024-10-31,2860,2870,2820,2820
2024-11-01,2820,2840,2760,2780
2024-11-04,2780,2810,2750,2800
2024-11-05,2800,2810,2730,2770
2024-11-06,2780,2800,2740,2740
2024-11-07,2760,2790,2740,2760
2024-11-08,2760,2780,2750,2750
2024-11-11,2720,2730,2650,2690
2024-11-12,2660,2670,2600,2600
2024-11-13,2610,2630,2570,2580
2024-11-14,2550,2590,2530,2530
2024-11-15,2500,2580,2500,2540
2024-11-18,2540,2610,2520,2590
2024-11-19,2610,2850,2590,2780
2024-11-20,2740,2750,2640,2680
2024-11-21,2680,2810,2680,2770
2024-11-22,2750,2790,2720,2750
2024-11-25,2740,2780,2720,2740
2024-11-26,2770,2800,2680,2710
2024-11-28,2680,2750,2680,2720
2024-11-29,2700,2760,2700,2710
2024-12-02,2720,2730,2680,2680
2024-12-03,2760,2830,2710,2820
2024-12-04,2820,2850,2800,2840
2024-12-05,2840,2840,2730,2770
2024-12-06,2740,2780,2740,2760
2024-12-09,2760,2770,2730,2740
2024-12-10,2770,2830,2750,2770
2024-12-11,2770,2880,2770,2860
2024-12-12,2830,2850,2780,2820
2024-12-13,2770,2790,2750,2790
2024-12-16,2760,2760,2650,2660
2024-12-17,2630,2650,2600,2620
2024-12-18,2620,2660,2570,2570
2024-12-19,2510,2560,2500,2530
2024-12-20,2530,2570,2520,2550
2024-12-23,2580,2670,2580,2650
2024-12-24,2680,2750,2620,2740
2024-12-27,2770,2800,2710,2750
2024-12-30,2720,2760,2700,2710
2025-01-02,2710,2740,2680,2700
2025-01-03,2740,2770,2730,2750
